id_pedido,data,hora_str,hora_int,mes,semana,dia_semana,turno,cidade_id,modalidade,canal,km,faixa_km,custo_por_km,sla_min,tempo_total_min,tempo_aceite_min,atraso_min,tempo_chegada_origem_min,tempo_espera_origem_min,tempo_deslocamento_min,status,cancelada_flag,insucesso_flag,motivo_cancelamento,otd_flag,valor_base_entregador,valor_dinamica,valor_entregador,evento_flag,evento_id,custo_operacional,valor_dinamica_empresa,valor_pago_empresa,margem_unitaria
P045738984,2026-01-01,07:09,7,2026-01,1,Qui,Manhã,11,Econômica,App,0.55,0-3,16.727272727272723,60,6.78,0.15,-53.22,3.63,0.0,3.0,Finalizada,0,0,,1,9.2,0,9.2,0,,9.2,0,10.7,0.16304347826086962
P045739004,2025-10-01,10:23,10,2025-10,40,Qua,Manhã,11,Econômica,App,0.59,0-3,18.983050847457626,60,21.5,0.33,-38.5,18.2,0.0,2.97,Finalizada,0,0,,1,11.2,0,11.2,0,,11.2,0,12.7,0.1339285714285714
P045739045,2025-10-01,08:46,8,2025-10,40,Qua,Manhã,11,Econômica,App,1.44,0-3,4.652777777777778,60,14.95,4.29,-45.05,6.14,0.0,4.52,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045739052,2026-01-01,09:46,9,2026-01,1,Qui,Manhã,11,Expressa,App,1.4,0-3,8.357142857142858,40,96.82,35.0,56.81999999999999,4.67,0.0,57.15,Finalizada,0,0,,0,11.7,0,11.7,0,,11.7,0,13.2,0.1282051282051282
P045739117,2025-10-01,08:07,8,2025-10,40,Qua,Manhã,11,Econômica,App,2.79,0-3,3.118279569892473,60,12.14,0.61,-47.86,3.56,0.0,7.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739239,2026-01-01,08:28,8,2026-01,1,Qui,Manhã,11,Econômica,App,0.83,0-3,10.481927710843372,60,4.03,0.35,-55.97,0.18,0.0,3.5,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739243,2026-01-01,09:29,9,2026-01,1,Qui,Manhã,11,Integrada,App,2.61,0-3,3.333333333333333,55,58.3,35.0,3.299999999999997,4.22,0.0,19.08,Finalizada,0,0,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739313,2025-10-01,08:39,8,2025-10,40,Qua,Manhã,11,Expressa,App,0.92,0-3,9.456521739130434,40,8.37,0.48,-31.630000000000003,4.92,0.0,2.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739367,2026-01-01,08:47,8,2026-01,1,Qui,Manhã,11,Integrada,App,0.54,0-3,16.111111111111107,55,7.95,0.43,-47.05,4.52,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739371,2025-10-01,10:47,10,2025-10,40,Qua,Manhã,11,Econômica,App,4.94,3-7,2.1255060728744937,60,72.3,0.0,12.299999999999997,0.0,0.0,72.3,Cancelada,1,0,,0,10.5,0,10.5,0,,10.5,0,12.0,0.1428571428571428
P045739377,2026-01-01,09:47,9,2026-01,1,Qui,Manhã,11,Integrada,Integrado,1.77,0-3,4.915254237288135,55,24.48,0.82,-30.52,7.93,0.0,15.73,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739521,2026-01-01,09:01,9,2026-01,1,Qui,Manhã,11,Integrada,App,0.7,0-3,12.428571428571429,55,6.89,0.52,-48.11,3.37,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
